S.No,Category (Landing Page),Sub Category,Product / Service Name,Type,Unit Mapping,Alt / Secondary Units,Quantity Parameters
15437,Hospital Furniture,Hospital Trolleys,Hospital Furniture Product C - Hospital Trolleys Type 2,Product,Sqmt,Acre,190
15438,Hospital Furniture,Hospital Trolleys,Hospital Furniture Item Premium - Hospital Trolleys Type 3,Product,Kg,Ton,195
15439,Hospital Furniture,Hospital Trolleys,Hospital Furniture Item Standard - Hospital Trolleys Type 4,Product,Litre,Barrel,200
15440,Hospital Furniture,Hospital Trolleys,Hospital Furniture Item Economy - Hospital Trolleys Type 5,Product,Piece,Dozen,205
15441,Hospital Furniture,Hospital Trolleys,Hospital Furniture Model X1 - Hospital Trolleys Type 6,Product,Set,Lot,210
15442,Hospital Furniture,Hospital Trolleys,Hospital Furniture Model X2 - Hospital Trolleys Type 7,Product,Meter,Roll,215
15443,Hospital Furniture,Hospital Trolleys,Hospital Furniture Model Pro - Hospital Trolleys Type 8,Product,Box,Carton,220
15444,Hospital Furniture,Hospital Trolleys,Hospital Furniture Solution Basic - Hospital Trolleys Type 9,Product,Bag,Pallet,225
15445,Hospital Furniture,Hospital Trolleys,Hospital Furniture Solution Advanced - Hospital Trolleys Type 10,Product,Unit,Lot,230
15446,Hospital Furniture,Hospital Trolleys,Hospital Furniture Solution Enterprise - Hospital Trolleys Type 11,Product,License,Subscription,235
15447,Hospital Furniture,Hospital Trolleys,Hospital Furniture Pack Small - Hospital Trolleys Type 12,Product,Service,Contract,240
15448,Hospital Furniture,Hospital Trolleys,Hospital Furniture Pack Medium - Hospital Trolleys Type 13,Product,Ton,MT,245
15449,Hospital Furniture,Hospital Trolleys,Hospital Furniture Pack Large - Hospital Trolleys Type 14,Product,Pack,Carton,250
15450,Hospital Furniture,Hospital Trolleys,Hospital Furniture Kit Starter - Hospital Trolleys Type 15,Product,Gram,Kg,5
15451,Hospital Furniture,Hospital Trolleys,Hospital Furniture Kit Professional - Hospital Trolleys Type 16,Product,Can,Pallet,10
15452,Hospital Furniture,Hospital Trolleys,Hospital Furniture Standard Service - Hospital Trolleys Option 1,Service,Per Project,Contract,1
15453,Hospital Furniture,Hospital Trolleys,Hospital Furniture Premium Service - Hospital Trolleys Option 2,Service,Per Project,Contract,1
15454,Hospital Furniture,Hospital Trolleys,Hospital Furniture Consultation - Hospital Trolleys Option 3,Service,Per Project,Contract,1
15455,Hospital Furniture,Hospital Trolleys,Hospital Furniture Management Service - Hospital Trolleys Option 4,Service,Per Project,Contract,1
15456,Hospital Furniture,Hospital Trolleys,Hospital Furniture Support Service - Hospital Trolleys Option 5,Service,Per Project,Contract,1
15457,Hospital Furniture,Medical Cabinets,Hospital Furniture Product B - Medical Cabinets Type 1,Product,Per Hour,Monthly,40
15458,Hospital Furniture,Medical Cabinets,Hospital Furniture Product C - Medical Cabinets Type 2,Product,Per Project,Contract,45
15459,Hospital Furniture,Medical Cabinets,Hospital Furniture Item Premium - Medical Cabinets Type 3,Product,Per Acre,Per Season,50
15460,Hospital Furniture,Medical Cabinets,Hospital Furniture Item Standard - Medical Cabinets Type 4,Product,Per Day,Monthly,55
15461,Hospital Furniture,Medical Cabinets,Hospital Furniture Item Economy - Medical Cabinets Type 5,Product,Per Sample,Batch,60
15462,Hospital Furniture,Medical Cabinets,Hospital Furniture Model X1 - Medical Cabinets Type 6,Product,Per Trip,Contract,65
15463,Hospital Furniture,Medical Cabinets,Hospital Furniture Model X2 - Medical Cabinets Type 7,Product,Per Formula,Contract,70
15464,Hospital Furniture,Medical Cabinets,Hospital Furniture Model Pro - Medical Cabinets Type 8,Product,Per Animal,Annual,75
15465,Hospital Furniture,Medical Cabinets,Hospital Furniture Solution Basic - Medical Cabinets Type 9,Product,Sheet,Box,80
15466,Hospital Furniture,Medical Cabinets,Hospital Furniture Solution Advanced - Medical Cabinets Type 10,Product,Roll,Pallet,85
15467,Hospital Furniture,Medical Cabinets,Hospital Furniture Solution Enterprise - Medical Cabinets Type 11,Product,Sqft,Sqmt,90
15468,Hospital Furniture,Medical Cabinets,Hospital Furniture Pack Small - Medical Cabinets Type 12,Product,Sqmt,Acre,95
15469,Hospital Furniture,Medical Cabinets,Hospital Furniture Pack Medium - Medical Cabinets Type 13,Product,Kg,Ton,100
15470,Hospital Furniture,Medical Cabinets,Hospital Furniture Pack Large - Medical Cabinets Type 14,Product,Litre,Barrel,105
15471,Hospital Furniture,Medical Cabinets,Hospital Furniture Kit Starter - Medical Cabinets Type 15,Product,Piece,Dozen,110
15472,Hospital Furniture,Medical Cabinets,Hospital Furniture Kit Professional - Medical Cabinets Type 16,Product,Set,Lot,115
15473,Hospital Furniture,Medical Cabinets,Hospital Furniture Standard Service - Medical Cabinets Option 1,Service,Per Project,Contract,1
15474,Hospital Furniture,Medical Cabinets,Hospital Furniture Premium Service - Medical Cabinets Option 2,Service,Per Project,Contract,1
15475,Hospital Furniture,Medical Cabinets,Hospital Furniture Consultation - Medical Cabinets Option 3,Service,Per Project,Contract,1
15476,Hospital Furniture,Medical Cabinets,Hospital Furniture Management Service - Medical Cabinets Option 4,Service,Per Project,Contract,1
15477,Hospital Furniture,Medical Cabinets,Hospital Furniture Support Service - Medical Cabinets Option 5,Service,Per Project,Contract,1
15478,Hospital Furniture,Patient Chairs,Hospital Furniture Product B - Patient Chairs Type 1,Product,Service,Contract,145
15479,Hospital Furniture,Patient Chairs,Hospital Furniture Product C - Patient Chairs Type 2,Product,Ton,MT,150
15480,Hospital Furniture,Patient Chairs,Hospital Furniture Item Premium - Patient Chairs Type 3,Product,Pack,Carton,155
15481,Hospital Furniture,Patient Chairs,Hospital Furniture Item Standard - Patient Chairs Type 4,Product,Gram,Kg,160
15482,Hospital Furniture,Patient Chairs,Hospital Furniture Item Economy - Patient Chairs Type 5,Product,Can,Pallet,165
15483,Hospital Furniture,Patient Chairs,Hospital Furniture Model X1 - Patient Chairs Type 6,Product,Book,Box,170
15484,Hospital Furniture,Patient Chairs,Hospital Furniture Model X2 - Patient Chairs Type 7,Product,Certificate,Lot,175
15485,Hospital Furniture,Patient Chairs,Hospital Furniture Model Pro - Patient Chairs Type 8,Product,Credit,Pack,180
15486,Hospital Furniture,Patient Chairs,Hospital Furniture Solution Basic - Patient Chairs Type 9,Product,Per Filing,Annual,185
15487,Hospital Furniture,Patient Chairs,Hospital Furniture Solution Advanced - Patient Chairs Type 10,Product,Per Month,Annual,190
15488,Hospital Furniture,Patient Chairs,Hospital Furniture Solution Enterprise - Patient Chairs Type 11,Product,Per Hour,Monthly,195
15489,Hospital Furniture,Patient Chairs,Hospital Furniture Pack Small - Patient Chairs Type 12,Product,Per Project,Contract,200
15490,Hospital Furniture,Patient Chairs,Hospital Furniture Pack Medium - Patient Chairs Type 13,Product,Per Acre,Per Season,205
15491,Hospital Furniture,Patient Chairs,Hospital Furniture Pack Large - Patient Chairs Type 14,Product,Per Day,Monthly,210
15492,Hospital Furniture,Patient Chairs,Hospital Furniture Kit Starter - Patient Chairs Type 15,Product,Per Sample,Batch,215
15493,Hospital Furniture,Patient Chairs,Hospital Furniture Kit Professional - Patient Chairs Type 16,Product,Per Trip,Contract,220
15494,Hospital Furniture,Patient Chairs,Hospital Furniture Standard Service - Patient Chairs Option 1,Service,Per Project,Contract,1
15495,Hospital Furniture,Patient Chairs,Hospital Furniture Premium Service - Patient Chairs Option 2,Service,Per Project,Contract,1
15496,Hospital Furniture,Patient Chairs,Hospital Furniture Consultation - Patient Chairs Option 3,Service,Per Project,Contract,1
15497,Hospital Furniture,Patient Chairs,Hospital Furniture Management Service - Patient Chairs Option 4,Service,Per Project,Contract,1
15498,Hospital Furniture,Patient Chairs,Hospital Furniture Support Service - Patient Chairs Option 5,Service,Per Project,Contract,1
15499,Hospital Furniture,Nurse Stations,Hospital Furniture Product B - Nurse Stations Type 1,Product,Sqmt,Acre,250
15500,Hospital Furniture,Nurse Stations,Hospital Furniture Product C - Nurse Stations Type 2,Product,Kg,Ton,5
15501,Hospital Furniture,Nurse Stations,Hospital Furniture Item Premium - Nurse Stations Type 3,Product,Litre,Barrel,10
15502,Hospital Furniture,Nurse Stations,Hospital Furniture Item Standard - Nurse Stations Type 4,Product,Piece,Dozen,15
15503,Hospital Furniture,Nurse Stations,Hospital Furniture Item Economy - Nurse Stations Type 5,Product,Set,Lot,20
15504,Hospital Furniture,Nurse Stations,Hospital Furniture Model X1 - Nurse Stations Type 6,Product,Meter,Roll,25
15505,Hospital Furniture,Nurse Stations,Hospital Furniture Model X2 - Nurse Stations Type 7,Product,Box,Carton,30
15506,Hospital Furniture,Nurse Stations,Hospital Furniture Model Pro - Nurse Stations Type 8,Product,Bag,Pallet,35
15507,Hospital Furniture,Nurse Stations,Hospital Furniture Solution Basic - Nurse Stations Type 9,Product,Unit,Lot,40
15508,Hospital Furniture,Nurse Stations,Hospital Furniture Solution Advanced - Nurse Stations Type 10,Product,License,Subscription,45
15509,Hospital Furniture,Nurse Stations,Hospital Furniture Solution Enterprise - Nurse Stations Type 11,Product,Service,Contract,50
15510,Hospital Furniture,Nurse Stations,Hospital Furniture Pack Small - Nurse Stations Type 12,Product,Ton,MT,55
15511,Hospital Furniture,Nurse Stations,Hospital Furniture Pack Medium - Nurse Stations Type 13,Product,Pack,Carton,60
15512,Hospital Furniture,Nurse Stations,Hospital Furniture Pack Large - Nurse Stations Type 14,Product,Gram,Kg,65
15513,Hospital Furniture,Nurse Stations,Hospital Furniture Kit Starter - Nurse Stations Type 15,Product,Can,Pallet,70
15514,Hospital Furniture,Nurse Stations,Hospital Furniture Kit Professional - Nurse Stations Type 16,Product,Book,Box,75
15515,Hospital Furniture,Nurse Stations,Hospital Furniture Standard Service - Nurse Stations Option 1,Service,Per Project,Contract,1
15516,Hospital Furniture,Nurse Stations,Hospital Furniture Premium Service - Nurse Stations Option 2,Service,Per Project,Contract,1
15517,Hospital Furniture,Nurse Stations,Hospital Furniture Consultation - Nurse Stations Option 3,Service,Per Project,Contract,1
15518,Hospital Furniture,Nurse Stations,Hospital Furniture Management Service - Nurse Stations Option 4,Service,Per Project,Contract,1
15519,Hospital Furniture,Nurse Stations,Hospital Furniture Support Service - Nurse Stations Option 5,Service,Per Project,Contract,1
15520,Hospital Furniture,Operating Tables,Hospital Furniture Product B - Operating Tables Type 1,Product,Per Project,Contract,105
15521,Hospital Furniture,Operating Tables,Hospital Furniture Product C - Operating Tables Type 2,Product,Per Acre,Per Season,110
15522,Hospital Furniture,Operating Tables,Hospital Furniture Item Premium - Operating Tables Type 3,Product,Per Day,Monthly,115
15523,Hospital Furniture,Operating Tables,Hospital Furniture Item Standard - Operating Tables Type 4,Product,Per Sample,Batch,120
15524,Hospital Furniture,Operating Tables,Hospital Furniture Item Economy - Operating Tables Type 5,Product,Per Trip,Contract,125
15525,Hospital Furniture,Operating Tables,Hospital Furniture Model X1 - Operating Tables Type 6,Product,Per Formula,Contract,130
15526,Hospital Furniture,Operating Tables,Hospital Furniture Model X2 - Operating Tables Type 7,Product,Per Animal,Annual,135
15527,Hospital Furniture,Operating Tables,Hospital Furniture Model Pro - Operating Tables Type 8,Product,Sheet,Box,140
15528,Hospital Furniture,Operating Tables,Hospital Furniture Solution Basic - Operating Tables Type 9,Product,Roll,Pallet,145
15529,Hospital Furniture,Operating Tables,Hospital Furniture Solution Advanced - Operating Tables Type 10,Product,Sqft,Sqmt,150
15530,Hospital Furniture,Operating Tables,Hospital Furniture Solution Enterprise - Operating Tables Type 11,Product,Sqmt,Acre,155
15531,Hospital Furniture,Operating Tables,Hospital Furniture Pack Small - Operating Tables Type 12,Product,Kg,Ton,160
15532,Hospital Furniture,Operating Tables,Hospital Furniture Pack Medium - Operating Tables Type 13,Product,Litre,Barrel,165
15533,Hospital Furniture,Operating Tables,Hospital Furniture Pack Large - Operating Tables Type 14,Product,Piece,Dozen,170
15534,Hospital Furniture,Operating Tables,Hospital Furniture Kit Starter - Operating Tables Type 15,Product,Set,Lot,175
15535,Hospital Furniture,Operating Tables,Hospital Furniture Kit Professional - Operating Tables Type 16,Product,Meter,Roll,180
15536,Hospital Furniture,Operating Tables,Hospital Furniture Standard Service - Operating Tables Option 1,Service,Per Project,Contract,1
15537,Hospital Furniture,Operating Tables,Hospital Furniture Premium Service - Operating Tables Option 2,Service,Per Project,Contract,1
15538,Hospital Furniture,Operating Tables,Hospital Furniture Consultation - Operating Tables Option 3,Service,Per Project,Contract,1
15539,Hospital Furniture,Operating Tables,Hospital Furniture Management Service - Operating Tables Option 4,Service,Per Project,Contract,1
15540,Hospital Furniture,Operating Tables,Hospital Furniture Support Service - Operating Tables Option 5,Service,Per Project,Contract,1
15541,Hospitality,Hotel Services,Hospitality Product B - Hotel Services Type 1,Product,Ton,MT,210
15542,Hospitality,Hotel Services,Hospitality Product C - Hotel Services Type 2,Product,Pack,Carton,215
15543,Hospitality,Hotel Services,Hospitality Item Premium - Hotel Services Type 3,Product,Gram,Kg,220
15544,Hospitality,Hotel Services,Hospitality Item Standard - Hotel Services Type 4,Product,Can,Pallet,225
15545,Hospitality,Hotel Services,Hospitality Item Economy - Hotel Services Type 5,Product,Book,Box,230
15546,Hospitality,Hotel Services,Hospitality Model X1 - Hotel Services Type 6,Product,Certificate,Lot,235
15547,Hospitality,Hotel Services,Hospitality Model X2 - Hotel Services Type 7,Product,Credit,Pack,240
15548,Hospitality,Hotel Services,Hospitality Model Pro - Hotel Services Type 8,Product,Per Filing,Annual,245
15549,Hospitality,Hotel Services,Hospitality Solution Basic - Hotel Services Type 9,Product,Per Month,Annual,250
15550,Hospitality,Hotel Services,Hospitality Solution Advanced - Hotel Services Type 10,Product,Per Hour,Monthly,5
15551,Hospitality,Hotel Services,Hospitality Solution Enterprise - Hotel Services Type 11,Product,Per Project,Contract,10
15552,Hospitality,Hotel Services,Hospitality Pack Small - Hotel Services Type 12,Product,Per Acre,Per Season,15
15553,Hospitality,Hotel Services,Hospitality Pack Medium - Hotel Services Type 13,Product,Per Day,Monthly,20
15554,Hospitality,Hotel Services,Hospitality Pack Large - Hotel Services Type 14,Product,Per Sample,Batch,25
15555,Hospitality,Hotel Services,Hospitality Kit Starter - Hotel Services Type 15,Product,Per Trip,Contract,30
15556,Hospitality,Hotel Services,Hospitality Kit Professional - Hotel Services Type 16,Product,Per Formula,Contract,35
15557,Hospitality,Hotel Services,Hospitality Standard Service - Hotel Services Option 1,Service,Per Project,Contract,1
15558,Hospitality,Hotel Services,Hospitality Premium Service - Hotel Services Option 2,Service,Per Project,Contract,1
15559,Hospitality,Hotel Services,Hospitality Consultation - Hotel Services Option 3,Service,Per Project,Contract,1
15560,Hospitality,Hotel Services,Hospitality Management Service - Hotel Services Option 4,Service,Per Project,Contract,1
15561,Hospitality,Hotel Services,Hospitality Support Service - Hotel Services Option 5,Service,Per Project,Contract,1
15562,Hospitality,Restaurant Services,Hospitality Product B - Restaurant Services Type 1,Product,Kg,Ton,65
15563,Hospitality,Restaurant Services,Hospitality Product C - Restaurant Services Type 2,Product,Litre,Barrel,70
15564,Hospitality,Restaurant Services,Hospitality Item Premium - Restaurant Services Type 3,Product,Piece,Dozen,75
15565,Hospitality,Restaurant Services,Hospitality Item Standard - Restaurant Services Type 4,Product,Set,Lot,80
15566,Hospitality,Restaurant Services,Hospitality Item Economy - Restaurant Services Type 5,Product,Meter,Roll,85
15567,Hospitality,Restaurant Services,Hospitality Model X1 - Restaurant Services Type 6,Product,Box,Carton,90
15568,Hospitality,Restaurant Services,Hospitality Model X2 - Restaurant Services Type 7,Product,Bag,Pallet,95
15569,Hospitality,Restaurant Services,Hospitality Model Pro - Restaurant Services Type 8,Product,Unit,Lot,100
15570,Hospitality,Restaurant Services,Hospitality Solution Basic - Restaurant Services Type 9,Product,License,Subscription,105
15571,Hospitality,Restaurant Services,Hospitality Solution Advanced - Restaurant Services Type 10,Product,Service,Contract,110
15572,Hospitality,Restaurant Services,Hospitality Solution Enterprise - Restaurant Services Type 11,Product,Ton,MT,115
15573,Hospitality,Restaurant Services,Hospitality Pack Small - Restaurant Services Type 12,Product,Pack,Carton,120
